,Outlet,Month,Article Index,Content
rt_10-2019_1,rt,10-2019,1,"

** WATCH: Dutch farmers clog roads with tractors & machinery over ... **

* https://www.rt.com/news/471057-dutch-farmers-protest-blocks-roads/ *

“Last year you didn’t hear anything about nitrogen, and now suddenly it’s a mortal question,” farmer Micha Bouwer of the Farmers Defence Force told state broadcaster NOS. “These are all people in the city who have two plants on their balcony and say ‘nature is suffering’.”
Stoet boeren via Westvlietweg op weg naar Malieveld #boerenprotestpic.twitter.com/YgRN3janqo
Farmers are back for another big protest in the Netherlands. Thousands of tractors are driving on the highways right now and causing traffic jams across the whole country. This time not only the police but also the dutch army is trying to stop the #boerenprotest with roadblocks. pic.twitter.com/Qkk0zIM5vC
Farmers on their way to The Hague again to protest against proposal to cut farm output country wide by 50%. #boerenprotestpic.twitter.com/WUVN5J6BS3
While livestock farming is among the chief causes of nitrogen pollution, the farmers say they are being disproportionately blamed for climate change, and that their crucial role in food production is being overlooked.
The protest campaign follows Dutch court rulings that the government has an obligation to cut greenhouse emissions more significantly “in order to protect the life and family life of citizens” in the country.  
Dutch politicians are reportedly considering imposing new restrictions on food production and farming in an effort to drastically cut nitrogen output, in opposition to concern from farmers and farming groups.
Ik steun de boeren. #boerenprotest#leeuwardenpic.twitter.com/1oq7OGJ5j2
Ook leeuwarden doet mee! #boerenprotest#boer#boereninactiepic.twitter.com/PiN9FwLOKy
Bij het station komen nog meer boeren uit Groningen aan. Publiek juicht toe: ‘BOEREN, BOEREN, BOEREN’ #boerenprotest#rtvnoordpic.twitter.com/XCyeMnFgYc
Prime Minister Mark Rutte warned the protesters on Wednesday that they are entitled to demonstrate but “must follow the rules of the authorities.”
“If you don’t do that, you are in violation and the criminal law applies.”
Think your friends would be interested? Share this story!
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_10-2019_2,rt,10-2019,2,"

** Swedish school under fire for forcing kids to take part in climate strike **

* https://www.rt.com/news/469919-children-forced-participate-climate-strike/ *

Västangård school in Umeå, Sweden, notified parents and guardians that participation in last Friday’s climate strike was mandatory.
According to local media, some school principals in Sweden have given approval for students to step out and attend the climate strike, once their permission was sought. However, the school in Umeå said that its students must take part in the movement, regardless of if they’d asked to or not. 
The decision has been criticised by Swedes on Twitter as undemocratic and authoritarian for forcing children to take part in a movement even if they don’t wish to. Local councillor Anders Ågren said in a tweet that parents were told that the school had made the decision at the request of Thunberg. 
The teenager, who has herself been ‘on strike’ from school every Friday for a year, called on young people around the world to skip school for global protests in September to urge leaders to take action on climate change.
Climate strike participation by pupils is reportedly not supported by the teaching unions in Sweden, who say the key to tackling the climate issue is education. 
Think your friends would be interested? Share this story!
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_10-2019_3,rt,10-2019,3,"

** First it was the cow farts, now asthmatic patients are killing the ... **

* https://www.rt.com/uk/472187-asthma-inhalers-climate-change/ *

Of the 50 million inhalers prescribed in the UK in 2017 for the roughly five million asthmatic patients, seven out of ten emitted the greenhouse gas hydrofluoroalkane, which is used as a propellant to deliver the medicine into the lungs.
A new report by a Cambridge University team suggests that switching to a different type of inhaler could be as big for the environment as becoming vegetarian or committing to fervent recycling, though patients should check with their doctor before making the switch. 
So-called ‘metered-dose inhalers’ account for 4% of the NHS’ greenhouse gas emissions and the researchers suggest that replacing just one in ten of these inhalers with the dry powder kind would reduce CO2 emissions by an estimated 58 kilotonnes, the equivalent of 180,000 car journeys from London to Edinburgh.
On an individual level, they argue, it would be the same as cutting meat from your diet altogether, saving the Earth from between 150 and 400kg of carbon dioxide. 
Unsurprisingly, the report was met with outrage online. Many criticized the targeting of people with a chronic and potentially life-threatening illness in the same way multinational corporations are targeted.
Dry powder inhalers are bloody hard to use when you are shaking and cant breathe. This is stopping disabled people using plastic straws all over again.https://t.co/Ymjazsk0aG
“Oh good, now we’re going after asthma patients and asking them to change their inhalers to ‘save the planet’” wrote one irate Twitter user, in a sentiment shared by many.
“No. I’m not switching. Because I’m asthmatic, I don’t use hairspray, aerosol deodorant, or other aerosol sprays. That’s me saving the environment. Until everyone else does everything they can to prevent #ClimateChange I’m not changing inhalers,” came another response.
“The reason people use gas inhalers instead of dry powder is because you may not have the f-ing strength to take your life saving meds otherwise,” another person pointed out.
Some were rather more pointed in their remarks. “All just f**king DIE SHALL WE,” one commenter asked. While another said: “Oh sorry I was born with s**t lungs and need those meds.”
Though a select few met the news with pithy, acerbic wit: “Holding my breath will no doubt help too.”
Like this story? Share it with a friend!
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_10-2019_4,rt,10-2019,4,"

** A 'woke' remake of 'Baby It's Cold Outside': What's next, a climate ... **

* https://www.rt.com/usa/472141-john-legend-baby-cold-outside/ *

“Baby It’s Cold Outside,” first recorded in 1944, has been covered by many a celebrity duet since – until it ran into the #MeToo minefield last year, and got canceled because some people complained very loudly on social media that its lyrics were about “date rape.” Or as CNN chose to phrase it, “some observed that aspects of the original song were a bit problematic when viewed through a modern lens.” 
Legend rode to the rescue, recording a remake of the song with Kelly Clarkson that re-framed the “rapey” lyrics with what seems like a celebration of alcoholism instead, using language commonly employed to champion abortions:
What will my friends think...(I think they should rejoice.)...if I have one more drink? (It’s your body, and your choice.)
Little else is known about the new version. Though recorded in response to last year’s ban, the song isn’t out yet. Legend previewed it to Vanity Fair over the course of a cover story fawning over his “resistance” activism, among other things (it was the magazine’s special“impeachment edition”). 
If comments on CNN’s report were anything to go by, literally nobody asked for a remake of a song that had been played for 70 years, and was good enough for Rod Stewart and Dolly Parton; Ray Charles and Betty Carter; and Tony Bennett and Lady Gaga, among others.
“The entirety of human civilization is problematic when viewed through a modern lens,” said one comment. “Literally none of the aspects of that song are problematic unless you twist them and make them out to be,” said another.
Someone even quoted a passage from George Orwell’s 1984, about how “nothing exists except an endless present in which the Party is always right.”
Meanwhile, the culture war madness has made it impossible to tell whether the person who said a reference to climate change “would have finished it off nicely” was joking or being serious.
A lot of art created in the 1940s is considered ‘problematic’ by culture crusaders today, whether because of the ubiquitous use of tobacco, male-female relations, ‘racism’ or any number of other things. Yet it was a product of that age, and reflected the culture and customs of the time. Trying to ‘remake’ any of it to fit a world of cell phones, postmodernism and intersectionality is a recipe for disaster. 
Yet the present-day celebrity artists insist on bowdlerizing the classics instead of creating their own fresh art, properly grounded in their ‘woke’ sensibilities – almost as if they were incapable of actually doing so.
Nebojsa Malic, senior writer at RT
Think your friends would be interested? Share this story!

RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_10-2019_5,rt,10-2019,5,"

** 'She is kind, but emotions should not control this issue': Putin takes ... **

* https://www.rt.com/news/470070-vladimir-putin-greta-thunberg/ *

Thunberg’s passionate speech before world leaders at the UN Climate Action Summit in New York last week cemented her as probably the world’s most famous climate change activist and media darling. 
“How dare you!,” the 16-year-old campaigner scolded world leaders. “We are in the beginning of a mass extinction, and all you can talk about is money, and fairy tales of eternal economic growth.”

Thunberg’s lecture earned her praise from politicians and the media, but Russian President Vladimir Putin is not among them.
“I may disappoint you but I don’t share the common excitement about the speech by Greta Thunberg,” he told an energy forum in Moscow on Wednesday.
“No one has explained to Greta that the modern world is complex and different and ... people in Africa or in many Asian countries want to live at the same wealth level as in Sweden,” he continued. 
Of course, emotions are inevitable, but still if we want to be effective, we must stay professional.
Thunberg’s eco-activism has been criticized before for focusing on the Western world, while ignoring the damage being done to the environment by less wealthy countries going through their own industrial revolutions.
While young environmentalists should be supported, “when someone is using children and teenagers in personal interests, it only deserves to be condemned,” the leader argued.

“I’m sure that Greta is a kind and very sincere girl,” Putin added.
“But adults must do everything not to bring teenagers and children into some extreme situations.”
While Thunberg’s solitary school walkout last year has since evolved into thousands-strong ‘Fridays for Future’ protests worldwide, her activism has drawn criticism for its apparent alarmism, as well as mockery from US President Donald Trump. Thunberg herself has said that this backlash proves her message is “too loud to handle.”
Yet, critics also pointed out that the teenager has failed to present any clear steps on how to change the situation.
Think your friends would be interested? Share this story!

RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_11-2019_1,rt,11-2019,1,"

** The REAL inconvenient truth: Polar bears thriving in spite of climate ... **

* https://www.rt.com/op-ed/473160-scientist-fired-polar-bears-starving-not-climate-change/ *

Zoologist and polar bear expert Susan Crockford was shunned by the academy for her insistence that despite the polar bear’s status as a climate change icon, the warming planet had actually caused the species to thrive. She did not deny climate change – merely the idea that it was harming the bears.
After losing her contract as an adjunct professor at Canada’s University of Victoria, where she worked for 15 years, she has been vindicated by a report from northern Canada confirming her theory that polar bears are climate change’s beneficiaries, rather than its victims.
Footage of an emaciated polar bear, captioned “this is what climate change looks like,” yanked at the world’s heartstrings when it was posted on National Geographic in 2017. Eight months later, the publication changed the caption to “this is what starvation looks like,” admitting there was no way to tell why the bear was starving. But it wasn’t the first sick bear to be pressed into service for the environmentalist cause, and it won’t be the last. Climate change’s PR team may have made an unfortunate choice in elevating the polar bear to icon status.
The Inuit groups who actually live with the bears in northern Canada seem to agree with Crockford's claim that bear populations are increasing, as documented in a court affidavit by the director of wildlife management for the Nunavik Marine Region Wildlife Board. Faced with cuts to their bear-hunting quota by an environment ministry concerned with population numbers, Nunavut residents have seen an “increase in the polar bear population and a particularly notable increase since the 1980s,” the director attested.
Nor are the (plentiful) bears suffering or sickly: “Nunavik Inuit report that it is rare to see a skinny bear and most bears are observed to be healthy,” the affidavit continued. Locals are, however, reportedly concerned about outside perception of declining polar bear numbers, fueled by groups like the World Wildlife Federation (WWF), which explicitly described the bears as the “poster child for the impacts of climate change on species.”
Crockford has been saying for years that bear populations are either growing or stable – even though they may go down in some habitats, they increase in others. She does say starvation is the most common cause of death for adult bears, but there are many factors that could lead them to the state captured by National Geographic – from too many bears, straining food supplies and leaving slower hunters out-competed; to broken jaws, other injuries, and disease. 
But as ice cover decreases, she claims, polar bears thrive. The ringed seals that are one of their primary food sources multiply in the warmer water, and polar bear populations have been steady or on the rise since 2005, all predictions of doom aside.
Polar bear populations hit record highs in 2018, Crockford revealed in last year’s State of the Polar Bear report, whose publication by the climate skeptic Global Warming Policy Foundation was sparsely noted outside fellow-traveler sites like Climate Depot. Despite sea ice depletion to levels not expected until 2050, which was supposed to decimate two thirds of the bear population, the animals are thriving.
In fact, they’re thriving too much, according to the humans who have to live with them. The Nunavut government sounded the alarm last year: “Inuit believe there are now so many bears that public safety has become a major concern… the polar bear may have exceeded the coexistence threshold.” Two locals were killed in bear attacks in the region. Nor is Canada the only habitat affected – in 2017, they laid siege to the Siberian town of Ryrkaypiy, invading human homes and terrifying the locals. 
Even the WWF has softened its predictions of a polar bear apocalypse, admitting that only one of the 19 bear populations are in decline as of 2017 while two are increasing and seven are stable. Yet the International Union for Conservation of Nature insists the numbers will plummet 30 percent by 2050, linking population decline with dwindling sea ice. 
Crockford’s view – even though it’s based on years of research and previous studies – is considered heretical and scorned by climate doomsayers, for whom no deviation from orthodoxy is permitted, even when the facts do not match the propaganda.
The University of Victoria declined to renew her contract in May this year after 15 years of employment despite having promoted her work in the past. The school’s speakers’ bureau, which had sent her out for ten years to give lectures to schools and adult groups, dropped her like a hot potato in May 2017 after a vague outside complaint about her “lack of balance” allegedly triggered a kafkaesque cascade of deplatforming culminating in her removal. The school did not deny the reason she was let go was because of her heretical polar bear science, but would not confirm it either.
Misrepresenting thriving wildlife populations as a harbinger of their doom is nothing new for nature photographers and documentarians – David Attenborough’s depiction of suicidal walruses plummeting from cliffs “because of climate change” was recently exposed as less than the whole truth.
Walruses ‘hauled out’ on land are spooked easily and will plummet from cliffs in their rush to return to the safety of the water. These stampedes can be triggered by polar bears, who do so deliberately in order to feast on the dead walruses left trampled or smashed at the cliff bottom, or by overhead planes (or the drones used for documentary filming).
One of the most notorious examples of phony wildlife tragedy gave rise to the myth of suicidal, cliff-jumping lemmings. A 1958 Disney nature documentary captured the little creatures marching off a precipice, seemingly to their doom, teaching viewers a valuable lesson about blindly following a leader, but that scene was staged by the filmmakers for the sake of added drama. 
Climate change proponents may not be staging mass animal suicide to convince the public, but their effort to torpedo the career of a scientist for reasons unrelated to the integrity of her research is equally unprofessional. The climate change debate must be had in good faith by scientific professionals on all sides, with participants free to voice their research-based dissent with prevailing orthodoxy, or it is not science but doctrine.
By Helen Buyniski, RT
Like this story? Share it with a friend!

The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT.
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_11-2019_2,rt,11-2019,2,"

** Kyoto failed. Paris failed. Will the Greta-starring Madrid UN climate ... **

* https://www.rt.com/op-ed/474749-cop25-un-climate-change-thunberg/ *

Rob Lyons is a UK journalist specialising in science, environmental and health issues. He is the author of 'Panic on a Plate: How Society Developed an Eating Disorder'.
Rob Lyons is a UK journalist specialising in science, environmental and health issues. He is the author of 'Panic on a Plate: How Society Developed an Eating Disorder'.
Starting on Monday, COP25, or the 25th Conference of the Parties to the UN Framework Convention on Climate Change, to give the summit its full name, will bring together top officials from 197 countries with the aim of establishing a set of new national targets towards cutting emissions. The talks were originally due to be held in Brazil, but the government there pulled out 12 months ago. Chile offered to take over but, after weeks of street protests, the government there pulled out, too. Finally, the Spanish government stepped in four weeks ago to take over.
The talks will review the progress made since the much-ballyhooed Paris Agreement was signed at COP21 in December 2015. The Agreement aims to reduce emissions enough to keep global temperature rises 'well below' two degrees Celsius above pre-industrial levels, and ideally 1.5 degrees. The world has already warmed by about one degree Celsius from that baseline, leaving nations with even less leeway.
Each country has promised to set a national goal for lowering emissions along with a plan for how that might be achieved. 

There were two main problems with the Paris Agreement. First, there is no international mechanism to enforce the targets that countries declare. Beyond domestic laws and 'peer pressure' from other countries, there is no penalty for failure. Second, the cuts pledged so far are nowhere near sufficient, if climate models are correct, to stop the world warming by well over two degrees. Hence the demand for new, even more ambitious targets to be set, both in Madrid and at the 2020 meeting in Glasgow, UK.
Countries do seem to be stepping up their ambitions – or, at least, their rhetoric. For example, more and more countries are pledging to reach 'net zero' emissions by 2050 or shortly after. In the past few days, the new president of the EU Commission, Ursula von der Leyen, has demanded that EU member states commit to cutting emissions by 55 percent by 2030.
The record on achieving emissions cuts in this way is very poor. For all the grand declarations at UN events, the reality is that even the weak targets set so far have only been met by accident rather than by design. 
For example, the Kyoto Protocol, signed in 1997, committed industrialized countries to cut overall emissions by five percent, compared to 1990, by 2012. The targets were just about met – but mainly because of the deindustrialization of Eastern Europe and Russia after 1990, along with unrelated events in Western countries, namely the economic crisis of 2008-09.
The scale of the problem is highlighted by the UN Environment Programme's Emissions Gap Report 2019, published on 26 November. The report analyses the 'emissions gap' between what is currently happening, what countries have pledged to do and the emissions reductions that are needed. In short, far from emissions falling rapidly or even stabilizing, they have carried on rising at about 1.5 percent per year. 
That also means that the cuts that are needed to reach the goals in the Paris Agreement must be made even faster.
At which point, it is surely worth asking: is the problem a lack of political will, as many critics maintain, or is the whole process of setting targets simply wrong? When faced with the problem of maintaining or improving living standards for their own citizens, governments' first thought will always be to protect their own position rather than make cutbacks. 
And Emmanuel Macron’s desire to go against his people with a fuel tax a year ago – which provoked a year of Yellow Vest protests – shows the political costs of the elite trying to impose its green policies on a reluctant electorate.
In truth, the West has barely recovered from the crash of 2008. Politicians are highly unlikely to jeopardize what little growth is happening by imposing more taxes and restrictions on pollution. 
Even when the politicians do manage to squeeze policies through, they are highly cost-inefficient. Germany has spent over €300 billion ($330.5 bn) on introducing renewables like wind power and solar power, yet they make up just one-seventh of Germany's energy needs and German consumers now pay the highest electricity prices in Europe.
There is, if we stop predicting doom and put our faith into human ingenuity instead. For one thing, there is no 'climate emergency.' We should ignore the advice of Greta Thunberg to 'panic.' These claims are an attempt to silence dissent and debate, to force us to do what the eco-warriors want rather than take a balanced view.
1. Don't panic!
The world is likely to get warmer, whatever we do. But thanks to economic development - mostly powered by fossil fuels - we are in a better position to deal with whatever nature throws at us. Just one example: deaths from natural disasters have plummeted in the past century thanks to better transport, communications, healthcare and food supplies. We need more economic growth so we may drag billions more out of poverty and be even more resilient in the future.
2. Apply the best technologies – and develop even better ones
Let's pick the 'low-hanging fruit' – the easiest and cheapest ways to cut emissions. For example, low-energy lighting both cuts energy use and saves money very quickly. Switching from coal to gas for electricity generation has been successful in the UK and US. Alongside that, let's invest in things that are good ideas in themselves, but also happen to cut emissions, so-called 'no regrets' policies. Electric and hydrogen-powered vehicles not only don't produce greenhouse gas emissions, but can drastically improve the air in our cities - and they need less maintenance, too. Let's strive to make them cheaper and more reliable.
3. Stop wasting money on renewables
Wind and solar can be useful if the conditions are right - where there's lots of sunshine or plenty of wind. Otherwise, they don't cut emissions by much and they are not reliable, but they do increase the cost of energy. We need reliable, affordable forms of low-carbon energy, whether it is existing technology like nuclear fission or new possibilities like nuclear fusion. Let's use some of the money we save on renewables to launch a new wave of energy research.
Some of these things will take time to come to fruition. But we must take the long term view – which is exactly what the green activists always demand. So instead of quick headline-grabbing but meaningless fixes to stave off the apocalypse, we must trust ourselves to work our way out. Not that you will hear much of that optimistic rhetoric in Madrid.
Think your friends would be interested? Share this story!
The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT.
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_11-2019_3,rt,11-2019,3,"

** Doom-mongering scientists now warn that climate change will kill ... **

* https://www.rt.com/op-ed/473367-climate-change-human-health-oil/ *

Rob Lyons is a UK journalist specialising in science, environmental and health issues. He is the author of 'Panic on a Plate: How Society Developed an Eating Disorder'.
Rob Lyons is a UK journalist specialising in science, environmental and health issues. He is the author of 'Panic on a Plate: How Society Developed an Eating Disorder'.
UK medical journal The Lancet has just published a familiar, downbeat assessment of the future of climate change and human health. The latest edition of its Countdown on Health and Climate Change, an annual analysis that tracks progress across 41 key indicators, examines the impact on human health if the world either takes action to meet the Paris Agreement targets or continues with 'business as usual'.
The project is a collaboration between 120 experts from 35 institutions including the World Health Organisation (WHO), World Bank, University College London, and Tsinghua University in China.
The 2019 analysis claims that if the world sticks to 'business as usual' policies rather than making concerted efforts to reduce greenhouse-gas emissions to 'net zero' by 2050, the effects on human health could be serious. Infants will be the most vulnerable to malnutrition, rising food prices and infectious diseases, particularly pathogens that cause diarrhea and wound infections, which can affect wide areas as temperatures rise.
According to the report, air pollution contributes to 20,500 deaths per year in the UK alone. The costs of air pollution across Europe could reach €129 billion per year if pollution levels remain high.
Extreme temperatures will become a greater problem, too. In 2018, the number of elderly people exposed to heatwaves rose by 220 million compared with 2000, with older city-dwellers in Europe and the Eastern Mediterranean most vulnerable.
In conclusion, the authors argue that urgent action is required to meet the Paris Agreement targets.
""This year, the accelerating impacts of climate change have become clearer than ever. The highest recorded temperatures in Western Europe and wildfires in Siberia, Queensland, and California triggered asthma, respiratory infections and heat stroke. Sea levels are now rising at an ever concerning rate,"" said Professor Hugh Montgomery, co-chair of The Lancet Countdown and director of the Institute for Human Health and Performance at University College London.
Professor Montgomery sees the school strikes led by Swedish activist Greta Thunberg as an inspiration. ""Our children recognise this climate emergency and demand action to protect them. We must listen, and respond.""
However, before we all sink into depression, some caution is needed. First, the report's idea of ""business as usual"" seems particularly gloomy, even alarmist, by assuming a rise of global temperatures of between four and seven degrees Celsius by the end of the century, compared to pre-industrial temperatures. Since we've had one degree of warming already, that means at least three degrees more in the next 80 years. However, that would be double the rate of global warming over the past 40 years. While anything is possible, that's a very important and significant assumption.
Moreover, it has been a problem noted for some time that the climate models such forecasts are based on have been ""running hot"" - that is, they overestimate temperature rises. As a result, the claims about health in this report, based on large temperature rises, are almost certainly excessively gloomy. 
Indeed, rather than start from what might happen in the future, perhaps it is better to examine what we actually know about - what has happened in the past few decades. Here, the report offers much happier news.
All-cause mortality is falling around the world. In fact, it's the reason why the world's population is growing. We're not having more children, we're all just living longer. As Our World in Data notes, when it comes to health, ""the world has made rapid progress. Today most people in the world can expect to live as long as those in the very richest countries in 1950. Today’s global average life expectancy of 71 years is higher than that of any country in 1950 with the exception of a handful in Northern Europe.""
There has been particular progress in relation to deaths from malaria, a disease that particularly blights Africa. The Lancet report shows that deaths from malaria have fallen very sharply in the twenty-first century. Our World in Data notes World Health Organization figures that suggest that in the first 15 years of this century, ""the global death toll has been cut in half: from 839,000 deaths in 2000 to 438,000 in 2015.""
The policies promoted by the Lancet report to prevent health risks from climate change mean a rapid cut in the use of fossil fuels. But many of the great improvements in human health in recent decades have been possible thanks to economic development powered by fossil fuels. 
Simply phasing out oil, coal and gas without reliable and affordable alternatives will cause more problems than it solves. Rich countries have great difficulty in integrating wind and solar power, for example, which are unreliable or intermittent - or both. How could poorer countries possibly rely on them?
Moreover, some problems mentioned in the report could be dealt with in a way that doesn't demand a cut in greenhouse-gas emissions. For example, we can cut deaths from air pollution by switching from dirty, polluting cars to cleaner, more modern models. We can keep coal-powered electricity generation away from major centres of population, or switch from coal to gas, as many countries have been doing.
We also need to take note of the potential improvements in health as a result of climate change. Reports like the one by the Lancet have a tendency to focus on costs, but rarely mention benefits. But if we leave out those benefits, we can't produce sensible policies for the future.
For example, if the world is getting warmer, there may be more deaths from heat (though that is not certain), but there may also be fewer deaths from cold. In fact, cold weather is much more likely to be a cause of death than extreme heat. This is another reason to be cautious about cutting the use of fossil fuels: if we make energy more expensive, we could end up costing lives as poorer people fail to heat their homes sufficiently.
In recent years, the Lancet has become more famous for its campaigns than for sober analysis of medical issues. This new report is typical of that attitude. The report's claims and conclusions deserve far greater scrutiny and skepticism than most of the mainstream media will provide.
Like this story? Share it with a friend!
The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT.
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_11-2019_4,rt,11-2019,4,"

** China, France reaffirm support for Paris climate agreement as ... **

* https://www.rt.com/newsline/472718-china-france-climate-macron/ *

French President Emmanuel Macron and Chinese President Xi Jinping on Wednesday issued a joint statement reaffirming their strong support for the “irreversible” Paris Agreement on climate change, from which the US announced its exit this week.
The French president is visiting China for the second time since he took office, and he is traveling now with a business delegation of 30 companies.
The Chinese leader hailed the visit as giving a boost to multilateralism and free trade, amid ongoing economic tensions with Washington, AP reported.
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
rt_11-2019_5,rt,11-2019,5,"

** Jeremy Clarkson mocks 'idiot' Greta Thunberg, but the 'snowflakes ... **

* https://www.rt.com/op-ed/474753-jeremy-clarkson-greta-thunberg/ *

An interview with Jeremy Clarkson by The Independent was never going to be a friendly exchange. Clarkson has built a career out of mocking the social justice proclamations of the liberal newspaper’s bedfellows, and the Independent unloaded a woke broadside at the ‘Grand Tour’ host the moment he swaggered into the room.
Describing the show as “schoolboy sniggering from a trio who have drawn much criticism over the years for encouraging toxic masculinity and cracking colonial-style jokes,” the Independent went on to suggest that “the public is finally tiring of his schtick,” and noted that it’s “tough to justify” a car show in 2019, when the European Parliament has declared a “climate and environment emergency.”
Clarkson is no less conciliatory, calling the interviewers “snowflakes,” and Swedish climate activist Greta Thunberg a “stupid idiot” and a “weird Swede with a bad temper.”
Rather than deny climate change, Clarkson suggested that the legions of Thunberg-inspired ‘school strikers’ should stay in the classroom and pay attention to their science lessons, rather than hopping on a “carbon fibre yacht” and going to “shout at Donald Trump.”
Indeed, Clarkson seems to have pulled a u-turn on the environment of late. An upcoming feature-length episode of The Grand Tour deals with the consequences of climate change on Vietnam’s rivers, and the avid petrolhead has recently embraced life in the slow lane, taking up farming in Oxfordshire. He says this operation is “completely carbon neutral,” and soaks up the emissions his collection of sports cars generates.
Gaining no traction on the environmental front, the Independent’s hit-squad of woke scribes switched tactics, calling Clarkson “toxically masculine.” 
An angry, toxic, irrelevant older man is intimidated by a young, intelligent, articulate female who can understand climate science. Nothing new here. Next. #ClimateCrisishttps://t.co/ebmU7hPjqZ
“You’ve perhaps mistaken me for someone who could do something about these things,” he responded, adding “I’m 60 - it’s not my job to be woke, it’s my job to die soon.”
A pointless interview where neither side learned anything from the other? Very 2019. But there’s one thing the interviewers can’t grasp: Clarkson still speaks for the masses. 
The rumble of a V8 engine, the scream of a Ferrari at full pelt, the smell of petrol and burning rubber still awaken something primal and sensory in us. Internal combustion still stirs the emotions in a way that whirring electric motors and soulless public transport cannot.
Independent journalists, city-dwelling environmentalists, and Brussels bureaucrats may cheer the twilight of the car as we know it, but most regular folk don’t. That’s the appeal of Clarkson and shows like ‘The Grand Tour.’ In an age when fuel prices are rising and carbon taxes - not to mention to pervasive shaming of the mainstream media - are chipping away at the regular schlub’s hopes of ever owning a sports car of their own, Clarkson’s TV shows are pure escapism.
The first episode of the latest season of ‘Top Gear’ - hosted by Clarkson for 25 years - was the highest-rated launch episode of the show since 2016, and the most-watched BBC Two title of 2019 so far. On YouTube, car channels like Mighty Car Mods, Jay Leno’s Garage, Regular Car Reviews and Doug DeMuro have amassed millions of subscribers. 
The car community is thriving, despite the Independent declaring “the end of the road for Clarkson and his pals.”
Even if his comments are groan-inducing at times, figures like Clarkson also provide a foil for social justice crusaders like The Independent’s interviewers, who have brought concepts like ‘toxic masculinity’ out of social sciences departments and feminist bookstores, and into the mainstream.
In the face of such relentless joylessness, Clarkson may not be the hero we need, but he is the hero we’re stuck with.
By Graham Dockery, RT
Like this story? Share it with a friend!

The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT.
RT News App
© Autonomous Nonprofit Organization “TV-Novosti”, 2005–2020. All rights reserved.
This website uses cookies. Read RT Privacy policy to find out more.
"
